ROW 1
-15.000005233 0.000000000 219.849170282
-10.606605418 -10.606605418 219.849170282
-0.000000000 -15.000005233 219.849170282
10.606605418 -10.606605418 219.849170282
15.000005233 -0.000000000 219.849170282
ROW 2
-15.251571152 0.000000000 204.072848727
-10.784489385 -10.784489385 204.072848727
-0.000000000 -15.251571152 204.072848727
10.784489385 -10.784489385 204.072848727
15.251571152 -0.000000000 204.072848727
ROW 3
-16.765573384 0.000000000 161.906313082
-11.855050630 -11.855050630 161.906313082
-0.000000000 -16.765573384 161.906313082
11.855050630 -11.855050630 161.906313082
16.765573384 -0.000000000 161.906313082
ROW 4
-24.910457940 0.000000000 141.050886920
-17.614353732 -17.614353732 141.050886920
-0.000000000 -24.910457940 141.050886920
17.614353732 -17.614353732 141.050886920
24.910457940 0.000000000 141.050886920
ROW 5
-55.020612808 0.000000000 122.699733679
-38.905448421 -38.905448421 122.699733679
-0.000000000 -55.020612808 122.699733679
38.905448421 -38.905448421 122.699733679
55.020612808 -0.000000000 122.699733679
ROW 6
-58.365382024 0.000000000 107.262202892
-41.270557416 -41.270557416 107.262202892
-0.000000000 -58.365382024 107.262202892
41.270557416 -41.270557416 107.262202892
58.365382024 -0.000000000 107.262202892
ROW 7
-57.460652788 0.000000000 60.750188407
-40.630817238 -40.630817238 60.750188407
-0.000000000 -57.460652788 60.750188407
40.630817238 -40.630817238 60.750188407
57.460652788 -0.000000000 60.750188407
ROW 8
-53.488787237 -0.000000000 30.400871570
-37.822284173 -37.822284173 30.400871570
0.000000000 -53.488787237 30.400871570
37.822284173 -37.822284173 30.400871570
53.488787237 0.000000000 30.400871570
ROW 9
-39.999999907 0.000000000 0.000000382
-28.284271182 -28.284271182 0.000000382
-0.000000000 -39.999999907 0.000000382
28.284271182 -28.284271182 0.000000382
39.999999907 -0.000000000 0.000000382

